ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
48,70,17,2023-10-08,4,Shipping  was  fast  and  the  item    was  well-packaged.,0.0,Positive,0.0 to 0.49
49,3,7,2025-06-09,3,"Good  quality,  but  could    be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
50,62,4,2023-01-07,1,The  product  stopped  working  after  a  month.,-0.2263,Negative,-0.49 to 0.0
51,49,17,2023-04-14,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
52,75,11,2024-04-07,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
53,73,18,2025-12-28,4,Five  stars  for    the  quick  delivery.,0.0,Positive,0.0 to 0.49
54,33,8,2023-05-03,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0
55,57,9,2025-11-03,3,Customer  support  was    very  helpful.,0.6997,Mixed Positive,0.5 to 1.0
56,15,10,2025-12-11,3,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Neutral,0.0 to 0.49
57,41,10,2024-04-06,2,Disappointed  with  the  performance.,-0.4767,Negative,-0.49 to 0.0
58,78,7,2024-07-16,2,"The  product    is  okay,  but  the  instructions  were  unclear.",-0.2617,Negative,-0.49 to 0.0
59,98,9,2024-09-01,4,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0
60,11,16,2023-12-27,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
61,50,19,2023-02-24,4,"Great  purchase,    very  satisfied.",0.8016,Positive,0.5 to 1.0
62,35,17,2023-03-18,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0
63,93,2,2025-01-05,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
64,86,11,2025-10-30,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
65,34,3,2024-06-15,1,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0
66,94,16,2023-06-17,4,"I  love  this  product,  will  buy    again!",0.6696,Positive,0.5 to 1.0
67,67,13,2025-04-12,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
68,38,7,2023-03-23,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
69,77,12,2025-08-03,3,Five  stars  for  the  quick  delivery.,0.0,Neutral,0.0 to 0.49
70,93,5,2024-01-30,4,Shipping  was  fast    and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49
71,24,11,2025-07-28,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
72,29,4,2023-05-29,5,The    build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0
73,68,19,2025-05-05,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
74,59,9,2023-05-16,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
75,22,3,2024-01-13,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49
76,9,10,2025-08-31,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
77,74,5,2023-03-15,4,"Great  purchase,    very  satisfied.",0.8016,Positive,0.5 to 1.0
78,6,10,2024-12-09,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
79,84,15,2024-05-28,2,The  product  arrived    late.,0.0,Negative,0.0 to 0.49
80,98,16,2025-05-24,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0
81,3,19,2024-09-04,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
82,78,13,2023-05-02,4,Shipping    was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49
83,32,11,2025-05-26,4,The  quality  is    top-notch.,0.0,Positive,0.0 to 0.49
84,40,20,2023-07-17,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49
85,17,6,2025-10-25,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
86,78,3,2025-10-06,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0
87,89,17,2023-05-26,3,Not    worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0
88,93,19,2025-08-26,4,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49
89,60,3,2024-07-08,3,The  quality  is  top-notch.,0.0,Neutral,0.0 to 0.49
90,47,17,2025-11-12,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
91,4,16,2025-09-27,3,"Great  purchase,  very  satisfied.",0.8016,Mixed Positive,0.5 to 1.0
92,2,16,2023-11-21,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0
93,60,13,2024-09-05,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0
94,2,16,2025-03-14,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
95,16,16,2024-04-07,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49
96,19,13,2023-09-02,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
97,64,6,2024-01-19,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
98,96,3,2025-11-20,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49
99,79,16,2025-01-29,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0
100,9,2,2025-06-20,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0
101,61,18,2024-09-11,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0
102,4,2,2025-08-22,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0
103,82,14,2024-11-17,5,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
104,96,5,2023-01-06,4,"I  love    this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
105,32,12,2024-08-27,2,The  product    arrived  late.,0.0,Negative,0.0 to 0.49
106,94,17,2024-02-25,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0
107,26,10,2025-02-17,5,Five  stars  for    the  quick  delivery.,0.0,Positive,0.0 to 0.49
108,80,17,2023-12-22,5,Five  stars  for  the    quick  delivery.,0.0,Positive,0.0 to 0.49
109,38,10,2023-07-25,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
110,54,12,2024-08-02,4,Customer    support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
111,43,7,2023-11-05,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
112,87,3,2023-05-26,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0
113,27,9,2024-03-31,2,Disappointed  with  the  performance.,-0.4767,Negative,-0.49 to 0.0
114,52,19,2025-05-04,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0
115,82,9,2023-09-28,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
116,70,18,2023-07-23,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
117,20,14,2025-04-19,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
118,59,6,2024-05-01,1,The  product  arrived  late.,0.0,Negative,0.0 to 0.49
119,34,5,2025-09-06,4,"Great  purchase,  very    satisfied.",0.8016,Positive,0.5 to 1.0
120,3,20,2024-08-18,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
121,91,1,2025-11-02,2,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Negative,0.0 to 0.49
122,83,14,2024-09-27,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0
123,93,1,2025-09-22,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49
124,36,16,2023-07-17,5,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
125,55,11,2025-12-20,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
126,32,10,2024-08-12,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49
127,47,8,2025-03-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
128,71,20,2023-12-13,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0
129,46,13,2025-02-14,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49
130,88,3,2025-09-22,5,"Great    purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
131,42,5,2023-06-16,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0
132,21,7,2025-11-13,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49
133,40,4,2025-05-24,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
134,74,4,2024-03-27,3,"Good  quality,  but  could    be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
135,48,14,2023-06-08,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
136,17,3,2025-03-27,5,Amazing  value  for    the  price.,0.7351,Positive,0.5 to 1.0
137,88,6,2023-03-02,4,"Good  quality,  but  could    be  cheaper.",0.2382,Positive,0.0 to 0.49
138,28,15,2023-01-18,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
139,36,16,2023-04-20,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
140,53,18,2023-12-03,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
141,98,9,2024-10-15,5,Amazing  value  for  the    price.,0.7351,Positive,0.5 to 1.0
142,15,7,2023-08-04,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0
143,3,12,2023-04-12,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
144,27,15,2025-08-16,4,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0
145,27,10,2024-03-05,3,"The    product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
146,5,13,2025-01-09,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
147,100,20,2025-01-25,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0
148,17,18,2024-11-05,1,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0
149,50,3,2023-12-20,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
150,4,15,2024-06-18,5,"I  love  this  product,  will  buy    again!",0.6696,Positive,0.5 to 1.0
151,21,19,2023-10-30,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
152,32,16,2025-12-15,3,"Good  quality,  but    could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
153,95,11,2023-11-06,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0
154,3,12,2023-12-19,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
155,89,3,2025-12-10,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
156,5,7,2025-01-26,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0
157,10,17,2025-10-14,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49
158,37,2,2024-04-16,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
159,23,12,2023-09-01,5,"I  love  this  product,    will  buy  again!",0.6696,Positive,0.5 to 1.0
160,71,9,2024-01-02,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0
161,9,18,2025-08-05,2,The  product  arrived    late.,0.0,Negative,0.0 to 0.49
162,64,20,2023-07-25,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
163,89,7,2023-05-27,5,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
164,25,19,2024-03-16,2,Product  did  not    meet  my  expectations.,0.0,Negative,0.0 to 0.49
165,97,3,2025-06-03,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
166,87,3,2023-11-01,3,"Good    quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
167,28,16,2023-08-02,2,Product  did  not  meet    my  expectations.,0.0,Negative,0.0 to 0.49
168,72,2,2025-12-13,3,Customer  support  was  very  helpful.,0.6997,Mixed Positive,0.5 to 1.0
169,26,8,2025-09-28,5,Five  stars  for  the  quick    delivery.,0.0,Positive,0.0 to 0.49
170,53,13,2024-06-23,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0
171,2,16,2024-02-16,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0
172,79,2,2024-11-23,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0
173,15,16,2025-05-30,5,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
174,91,8,2024-06-23,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
175,3,6,2024-11-02,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
176,21,11,2023-11-23,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
177,93,19,2025-07-03,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
178,17,20,2025-05-25,4,The  quality  is    top-notch.,0.0,Positive,0.0 to 0.49
179,46,20,2025-11-26,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
180,77,5,2023-03-08,4,"Great  purchase,    very  satisfied.",0.8016,Positive,0.5 to 1.0
181,4,3,2024-08-09,4,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0
182,21,11,2024-03-08,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0
183,13,5,2025-06-08,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
184,59,5,2024-12-29,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49
185,8,6,2023-11-13,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49
186,22,13,2023-02-17,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
187,58,18,2025-05-01,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
188,70,5,2025-09-19,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49
189,83,7,2025-03-13,2,The  product    arrived  late.,0.0,Negative,0.0 to 0.49
190,83,3,2023-08-10,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
191,68,3,2024-09-05,4,"Great  purchase,    very  satisfied.",0.8016,Positive,0.5 to 1.0
192,42,17,2023-08-04,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0
193,84,20,2024-06-21,3,"The  product  is  okay,  but  the  instructions  were    unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
194,7,7,2025-05-19,1,The  product  arrived  late.,0.0,Negative,0.0 to 0.49
195,75,5,2023-10-25,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0
196,91,2,2023-10-29,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
197,51,15,2024-11-27,4,"I  love  this  product,    will  buy  again!",0.6696,Positive,0.5 to 1.0
198,57,8,2023-08-27,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
199,6,13,2024-08-20,5,The    quality  is  top-notch.,0.0,Positive,0.0 to 0.49
200,30,17,2025-01-09,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
201,59,6,2023-05-23,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0
202,33,9,2023-09-06,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0
203,66,18,2023-11-22,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
204,95,14,2024-11-29,4,"Great  purchase,  very    satisfied.",0.8016,Positive,0.5 to 1.0
205,88,12,2023-04-06,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0
206,72,14,2023-08-22,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49
207,95,18,2025-06-07,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
208,94,8,2023-03-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
209,70,8,2025-11-05,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
210,28,1,2023-12-10,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49
211,84,12,2025-03-07,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
212,87,10,2023-01-03,1,"Terrible  customer  service,  would  not  buy  again.",-0.4767,Negative,-0.49 to 0.0
213,7,13,2024-04-09,5,Shipping  was  fast  and    the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49
214,53,18,2025-04-13,3,Five  stars  for  the  quick  delivery.,0.0,Neutral,0.0 to 0.49
215,55,10,2024-01-07,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49
216,49,7,2023-11-14,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
217,62,11,2023-08-19,5,Amazing  value    for  the  price.,0.7351,Positive,0.5 to 1.0
218,35,8,2024-09-14,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
219,90,9,2023-02-18,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
220,78,9,2025-08-12,2,Disappointed  with  the  performance.,-0.4767,Negative,-0.49 to 0.0
221,26,2,2024-10-21,4,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0
222,54,14,2024-02-28,5,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
223,37,16,2023-07-31,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49
224,68,15,2023-03-27,4,"Great  purchase,    very  satisfied.",0.8016,Positive,0.5 to 1.0
225,80,1,2025-09-08,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
226,60,9,2023-08-23,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49
227,74,11,2024-08-10,4,"Good    quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49
228,20,19,2025-10-23,2,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Negative,-0.49 to 0.0
229,69,12,2023-02-07,4,The    quality  is  top-notch.,0.0,Positive,0.0 to 0.49
230,54,11,2023-10-19,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49
231,15,16,2025-04-15,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
232,17,3,2025-10-11,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
233,81,4,2024-11-14,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49
234,80,9,2023-03-06,5,The  build  quality  is  impressive.,0.5106,Positive,0.5 to 1.0
235,54,3,2024-03-18,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
236,55,16,2025-03-03,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
237,44,2,2025-09-29,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
238,47,9,2023-04-18,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
239,45,9,2024-01-28,5,Exceeded  my  expectations!,0.0,Positive,0.0 to 0.49
240,20,16,2024-11-09,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
241,61,15,2024-04-22,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
242,20,20,2025-06-07,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
243,24,11,2023-02-17,1,I  had  a  bad  experience  with  this  product.,-0.5423,Negative,-1.0 to -0.5
244,36,4,2023-08-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
245,50,3,2023-03-23,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
246,71,12,2023-07-23,4,The    quality  is  top-notch.,0.0,Positive,0.0 to 0.49
247,28,6,2025-11-24,5,"Excellent  product,  highly    recommend!",0.7773,Positive,0.5 to 1.0
248,81,6,2023-07-15,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
249,75,2,2023-01-04,1,"Not    satisfied,  the  product  broke  after  a  week.",-0.6288,Negative,-1.0 to -0.5
250,22,11,2023-09-21,1,The  product  stopped  working  after  a  month.,-0.2263,Negative,-0.49 to 0.0
251,16,2,2024-02-01,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49
252,6,6,2025-03-18,5,The  build  quality  is    impressive.,0.5106,Positive,0.5 to 1.0
253,75,15,2024-08-03,3,"Great  purchase,  very  satisfied.",0.8016,Mixed Positive,0.5 to 1.0
254,30,19,2025-12-31,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
255,13,16,2024-01-23,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
256,91,3,2024-02-11,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49
257,84,13,2023-10-03,3,"Average  experience,  nothing    special.",-0.3089,Mixed Negative,-0.49 to 0.0
258,34,7,2025-05-13,4,"Great    purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
259,75,2,2023-08-24,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
260,44,18,2024-03-07,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
261,29,12,2024-10-15,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
262,45,7,2024-07-07,5,Five  stars  for    the  quick  delivery.,0.0,Positive,0.0 to 0.49
263,47,8,2024-10-21,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
264,96,18,2025-08-19,4,Shipping  was  fast  and  the    item  was  well-packaged.,0.0,Positive,0.0 to 0.49
265,22,19,2024-05-14,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
266,62,5,2025-02-22,5,"Excellent  product,    highly  recommend!",0.7773,Positive,0.5 to 1.0
267,55,19,2023-12-01,3,"The  product  is    okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
268,98,17,2023-10-28,5,The  build  quality    is  impressive.,0.5106,Positive,0.5 to 1.0
